"id","name","plays C","plays B"
"173346","7 Wonders Duel",0,4
"156443","AVGhost: Paranormal Investigation",0,0
"153065","Abluxxen",15,0
"217012","Alchemical Crystal Quest (Second Edition)",0,0
"161970","Alchemists",0,1
"278292","Anachrony: Infinity Box",0,0
"159508","AquaSphere",2,0
"230802","Azul",0,0
"256226","Azul: Stained Glass of Sintra",0,1
"234477","Batalla por Rokugán",3,0
"273330","Bloodborne: The Board Game",0,0
"252556","Bosk",0,1
"184921","Bunny Kingdom",0,0
"155362","Ca$h &#039;n Guns: Second Edition",2,0
"290236","Canvas",0,1
"164127","Carcassonne Big Box 5",0,11
"140711","Carcassonne Plus",29,0
"329954","Carcassonne: Edición 20º Aniversario",0,0
"187439","Cars 2: Pictureka!",0,0
"327077","Cartaventura: Vinland",0,2
"228504","Cat Lady",0,2
"299659","Clash of Cultures: Edición Monumental",5,0
"160537","Code Monkey Island",0,0
"227273","Cosmogenesis",3,0
"245476","CuBirds",7,0
"178900","Código secreto",9,0
"104162","Descent: Viaje a las Tinieblas (Segunda Edición)",7,0
"285192","Destinies",0,3
"15512","Diamant",6,0
"39856","Dixit",0,0
"63268","Dobble",0,0
"341284","Dungeon Lite: Orcs and Knights",0,0
"207062","Dungeons &amp; Dragons: Rock Paper Wizard",2,0
"133848","Euphoria: Construye una distopía mejor",1,0
"203420","Exit: El Juego – La cabaña abandonada",0,0
"197760","Fantasma Blitz: ¡Menudo susto!",0,0
"291457","Gloomhaven: Fauces del León",0,1
"151530","Golf &#039;n&#039; Roll",2,0
"115746","Guerra del Anillo: Segunda Edición",3,0
"158600","Hanamikoji",0,0
"199042","Harry Potter: Hogwarts Battle",1,0
"207310","Infected",1,0
"235247","Jim Henson&#039;s The Dark Crystal: Board Game",0,0
"103343","Juego de Tronos: El Juego de Tablero (Segunda Edición)",9,0
"8098","Jungle Speed",0,0
"73761","K2",0,1
"284378","Kanban EV",0,1
"172362","Kenjin",5,0
"70323","King of Tokyo",0,0
"272533","Kingdom Rush: Rift in Time",0,1
"277611","Kodama 3D",0,0
"302933","Kodama Forest",0,0
"203719","Krosmaster Arena 2.0",0,0
"112138","Krosmaster: Arena",0,0
"151456","Krosmaster: Arena – Duel Pack 1",0,0
"323613","LUNA Capital",0,0
"284083","La Tripulación: En busca del noveno planeta",0,0
"312484","Las Ruinas Perdidas de Arnak",0,1
"110327","Lords of Waterdeep",4,0
"25821","Los Hombres Lobo de Castronegro",0,0
"171623","Los Viajes de Marco Polo",9,0
"323707","MOB: La Gran Manzana",0,1
"250284","MONSTArgh!",3,0
"209778","Magic Maze",0,0
"167698","Magic: The Gathering – Arena of the Planeswalkers",0,0
"298378","Maharajá",0,1
"287228","Mal Trago",0,5
"318977","MicroMacro: Crime City",0,1
"308762","Mystic Vale: Edición Esencial",0,0
"147949","One Night Ultimate Werewolf",5,0
"163166","One Night Ultimate Werewolf: Daybreak",0,0
"342479","Orlog: Assassin&#039;s Creed Valhalla Dice Game",0,4
"176803","Overseers",0,0
"214491","Paku Paku",0,0
"30549","Pandemic",0,1
"221107","Pandemic Legacy: Segunda temporada",0,0
"330517","Paradice",0,1
"256960","Pax Pamir: Second Edition",1,0
"128780","Pax Porfiriana",1,0
"198953","Pax Renaissance",1,0
"23094","Planet Steam",0,0
"303551","Polis",0,1
"308765","Praga Caput Regni",3,0
"3076","Puerto Rico",6,0
"244521","Pócimas y Brebajes",0,1
"331979","Quartermaster General WW2: 2nd Edition",5,0
"69676","Questions de Merde",0,0
"197451","Rail Raiders Infinite",0,0
"218293","Rise to Nobility",2,0
"20545","Rory&#039;s Story Cubes",0,0
"320476","SINS: The Deck-builder",0,0
"9220","Saboteur",0,0
"143147","Saboteur Deluxe",3,0
"245214","Saboteur: Las Minas Perdidas / As Minas Perdidas",6,0
"301880","Saqueadores de Escitia",0,1
"202982","Scrawl",0,1
"108745","Seasons",0,0
"177844","Sector 6",0,0
"25021","Sekigahara: La Unificación de Japón",0,0
"339614","Shinkansen: Zero Kei",0,0
"196379","Shit Happens",1,0
"77130","Sid Meier&#039;s Civilization: El juego de tablero",1,0
"246684","Smartphone Inc.",0,1
"235375","Spirits of the Forest",1,0
"259554","Spoilers: Popcorn Edition",0,0
"225313","Spoilers: The Beginning",0,0
"298545","Spoilers: The Game – Travel Edition",0,0
"147020","Star Realms",8,0
"34635","Stone Age: La Edad de Piedra",4,0
"1917","Stratego",0,0
"123260","Suburbia",0,2
"316786","Tabannusi: Constructores de Ur",0,0
"252153","Tang Garden",4,0
"215613","Tao Long: The Way of the Dragon",2,0
"204574","The Flow of History: Deluxified",3,0
"2653","The Island",1,0
"279643","The Island of El Dorado: Legend Edition",0,0
"227224","The Red Cathedral",0,2
"128882","The Resistance: Avalon",0,0
"182028","Through the Ages: Una Nueva Historia de la Civilización",1,0
"46158","Time&#039;s Up Academy 1",0,0
"38713","Time&#039;s Up! Edición Amarilla",2,0
"88126","Time&#039;s Up! Family",0,0
"85256","Timeline: Inventos",0,0
"282171","Tranvía Mortal",0,2
"126163","Tzolk&#039;in: El Calendario Maya",0,0
"268864","Undaunted: Normandy",16,0
"290359","Undaunted: North Africa",6,0
"258074","Volfyirion",0,1
"213893","Yamataï",8,0
"196340","Yokohama",2,0
"224710","Zombicide: Green Horde",10,0
"2471","Zombies!!! Tercera Edición",0,0
"14996","¡Aventureros al Tren! Europa",2,0
"18723","¡Sí, Señor Oscuro!",0,0
